,Unnamed: 0,index,PaperId,Rank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,CreatedDate,Author IDs,Affiliation IDs,Citation IDs,Citation Years,Journal Name,Journal Long Name
20,20,20,2893549941,20263,10.1101/429589,Repository,reconstructing the human first trimester fetal maternal interface using single cell transcriptomics,Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics,,2018,2018-09-29,,Cold Spring Harbor Laboratory,2734324842.0,,,,,429589.0,,63,2,2,bioRxiv,,,2018-10-05,266576251;808621600;1982910728;2069846290;2084784121;2097729428;2122105281;2155582066;2156427476;2217285401;2233825738;2274536817;2546304883;2554361668;2613446890;2893920794;2894311116;3000925359;3001190006;3081013538;3081064650,2802476451;2802476451;2802476451;84884186;84884186;2802476451;241749;2802476451;84884186;84884186;84884186;2802476451;241749;2802476451;84884186;2802476451;2802476451;2802476451;2802476451;2802476451,2891348210;2908986749,2018;2019,biorxiv,bioRxiv
21,21,21,2896518632,18203,10.1038/S41467-018-06318-7,Journal,single cell rna sequencing of human liver reveals distinct intrahepatic macrophage populations,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations.,,2018,2018-10-22,2018-10-22,Nature Publishing Group,64187185.0,,,9.0,1.0,4383.0,4383.0,89,159,176,Nature Communications,,,2018-10-26,151315093;1533827266;1625650027;1930261780;1990912107;2016896723;2019294097;2019294097;2019294097;2060382888;2060382888;2080912028;2111181043;2115166191;2226810919;2231898107;2251136664;2335955310;2335955310;2496857239;2502125332;2529552874;2559094568;2777233081;2895851215;2896181090;2896305176;2896370392;2897217312;2897583109;2897888995;2898431952;2902649558;2978442841;2980924284;2984590284;2990969579;2990969579;2990969579,2801845744;185261750;2801845744;2801845744;2801845744;2801845744;185261750;1325899441;2801845744;185261750;2801845744;1325899441;1325899441;2801845744;2801845744;2801845744;2801845744;185261750;2801845744;2801845744;1325899441;185261750;185261750;185261750;2801845744;1325899441;185261750;2801845744;2801845744;2801845744;2801845744;185261750;1325899441;2801845744;2801845744;185261750;185261750;1325899441;2802654988,2913898208;2914333277;2916015278;2917919349;2924281947;2928090978;2930440495;2932965638;2941742514;2942730261;2943759164;2944356931;2944563907;2944578578;2944774195;2944872709;2945108378;2945225758;2945553216;2945705065;2946047090;2946842680;2947123059;2949194975;2949548034;2949749464;2949951112;2951222857;2951910953;2952568226;2953788278;2954339604;2956555457;2959566316;2962844412;2963310788;2964431599;2964869238;2965181777;2965264737;2966421713;2966975430;2967968984;2968872536;2969486896;2969583426;2970031518;2971451528;2971885908;2972879801;2973034691;2977483517;2979323674;2979432487;2979905131;2979909244;2980292232;2981825750;2982012795;2982638381;2983012178;2985349137;2988479951;2989923168;2990428470;2991122210;2991194132;2991483404;2992155676;2993105934;2997420790;2997782431;2997954936;2999615599;3001059335;3001111520;3001749946;3002152478;3002233063;3003759472;3004038529;3004272028;3004557356;3005481769;3005550024;3006824918;3007786743;3008376695;3008417965;3008563687;3008983522;3009560542;3009623124;3010018628;3010159046;3011079671;3011091134;3011483298;3011628866;3011699256;3011961097;3011994656;3012040412;3012169388;3012180666;3013513383;3014322203;3014899725;3015815440;3015990806;3016020856;3016060216;3016228379;3017139161;3017176012;3018580217;3019068524;3020611295;3020839725;3022023084;3022224749;3022596440;3022931916;3024506599;3024957685;3024992482;3026131022;3026221778;3026988635;3028444420;3028913737;3028930105;3030742091;3031491097;3033439943;3034122939;3034620109;3035017314;3035705215;3036760806;3037550512;3038630761;3038940039;3038999800;3039317121;3039622640;3041223109;3042407214;3042561617;3044276813;3046001787;3046633651;3047066924;3047256071;3047402958;3047860188;3048541978;3057690687;3080269113,2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature communications,Nature Communications
22,22,22,2950891712,18486,10.1038/S41591-019-0468-5,Journal,a cellular census of human lungs identifies novel cell states in health and in asthma,A cellular census of human lungs identifies novel cell states in health and in asthma.,,2019,2019-06-17,2019-06-17,Nature Publishing Group,203256638.0,,,25.0,7.0,1153.0,1163.0,50,98,102,Nature Medicine,,,2019-06-27,204852562;259790483;266576251;808621600;1646136176;1701522494;1969700334;2001205794;2014028902;2017281719;2020162065;2039591194;2043097299;2051051059;2077889787;2092782651;2097729428;2131180689;2163063045;2229870300;2332709146;2477735063;2505538165;2538733885;2616613758;2624279665;2725876768;2776838311;2809509353;2884286235;2900960041;2901268610;2911956307;2911984076;2981237243,241749;1334415907;241749;188950975;1334415907;1334415907;188950975;241749;1334415907;1334415907;1334415907;1334415907;1334415907;62916508;241749;1334415907;1334415907;1334415907;241749;1334415907,2951391445;2955096363;2965987138;2968497106;2970563066;2971421239;2975559569;2976408710;2979293263;2979816625;2980576656;2980853144;2982972779;2983012178;2985349137;2985996649;2989101566;2989212261;2990326030;2992132875;2995666881;2995771898;2997814633;2998531423;2998912822;2999168977;3000042757;3000676906;3001362643;3002373571;3003746451;3003937843;3004918653;3004922691;3005556888;3006594788;3007935255;3008891868;3009079774;3009883064;3010054644;3011134208;3011483298;3013415926;3013951257;3014259712;3014284874;3014446624;3014862523;3016085168;3016693383;3016981080;3017089760;3017315642;3017352939;3018519923;3018580217;3020611295;3021478071;3022947382;3026310174;3026398310;3026537720;3027762545;3028674460;3030149588;3030890563;3031177315;3033558602;3033590859;3036084130;3036537898;3036556672;3036699685;3037441057;3037544553;3037917761;3039311984;3039465315;3039699388;3040481179;3040876684;3041062936;3042216876;3042407214;3043438918;3044040393;3044069820;3044382958;3045767521;3045836602;3047028171;3047829746;3047966497;3048061752;3078555423;3080569962;3080668573,2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature medicine,Nature Medicine
23,23,23,2980292232,18456,10.1038/S41586-019-1652-Y,Journal,decoding human fetal liver haematopoiesis,Decoding human fetal liver haematopoiesis,,2019,2019-10-09,2019-10-09,Newcastle University,137773608.0,,,574.0,7778.0,365.0,371.0,63,38,38,Nature,,,2019-10-18,63639907;266576251;268520948;292525169;808621600;1862979420;1893730172;1893730172;1982910728;2038804287;2051051059;2062627679;2064757396;2064757396;2067250673;2084784121;2097729428;2098374814;2104201580;2129329611;2133639952;2141625796;2146227428;2146666071;2149186993;2155582066;2200739511;2217285401;2233825738;2236433058;2290946014;2301917402;2310866010;2311115243;2423203700;2423203700;2510284968;2557971867;2567489210;2592846410;2612116374;2613446890;2637325967;2684586579;2807128444;2884286235;2887826378;2888410212;2890732918;2898521035;2939660585;2947193609;2949109857;2981438241;2981577383;2981734660;3002283692;3028014673;3037005488,241749;84884186;107606265;241749;204730241;63966007;107606265;84884186;84884186;107606265;2801663869;241749;84884186;40120149;84884186;107606265;84884186;84884186;84884186;107606265;84884186;84884186;84884186;84884186;107606265;241749;84884186;107606265;136199984;84884186;40120149;107606265;107606265;84884186;84884186;84884186;84884186;84884186;84884186;241749;84884186;1303153112;84884186;204730241;107606265;84884186;84884186;84884186;107606265;84884186,2990976513;2991701263;2992612378;2993105934;3001059335;3007280064;3007419132;3007935255;3008278692;3008694957;3011449067;3011483298;3011628866;3012467381;3012642346;3012820838;3017101807;3021017266;3021597517;3022009389;3023925293;3024293212;3025627313;3025706990;3026727166;3028316745;3034650555;3035711804;3037404908;3037700579;3039622640;3040612806;3041183942;3042407214;3042561617;3043936337;3045119456;3047402958,2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,nature,Nature
24,24,24,3039015807,20033,10.1101/2020.06.30.174391,Repository,spatial and single cell transcriptional landscape of human cerebellar development,Spatial and single-cell transcriptional landscape of human cerebellar development,,2020,2020-07-01,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,63,0,0,bioRxiv,,,2020-07-10,268520948;281075344;281075344;1967039188;1967039188;1967314665;1999731149;2012011774;2029330756;2029330756;2082754551;2102778696;2117100739;2167224710;2167224710;2304767649;2344620324;2430406562;2516020431;2516020431;2575585931;2587435417;2591852065;2970581430;2992203591;3048549003,84884186;99399873;201448701;99399873;201448701;32971472;201448701;32971472;99399873;201448701;99399873;99399873;201448701;99399873;201448701;32971472;99399873;201448701;32971472;170486558;45129253;201448701;201448701;84884186;201448701;99399873,,,biorxiv,bioRxiv
25,25,25,3017315642,18625,10.1101/2020.04.19.049254,Repository,integrated analyses of single cell atlases reveal age gender and smoking status associations with cell type specific expression of mediators of sars cov 2 viral entry and highlights inflammatory programs in putative target cells,"Integrated analyses of single-cell atlases reveal age, gender, and smoking status associations with cell type-specific expression of mediators of SARS-CoV-2 viral entry and highlights inflammatory programs in putative target cells",,2020,2020-04-21,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,185,45,67,bioRxiv,,,2020-04-24,286122806;292525169;1569360301;1827129742;1893730172;1930528543;1969700334;1987742850;2000060147;2040623387;2046479391;2106256935;2110248498;2116675088;2123826026;2124698732;2129329611;2133036588;2135708746;2136921653;2137352911;2145737814;2149701139;2156797198;2200739511;2258088945;2260616120;2441348103;2563573829;2585074893;2605702016;2605772046;2606011356;2614527654;2634559958;2648495445;2725876768;2750579438;2754386858;2757303311;2760878558;2777879522;2791543893;2795576729;2796668494;2798561158;2807829760;2809509353;2886220366;2893283636;2897777416;2905682391;2944693510;2948159289;2949615573;2950265418;2951319138;2955553309;2970146078;2970332439;2971438182;2972391804;2981080779;2989815447;2995500348;3011199206;3012484918;3015125264;3016329060;3016367412;3016420594;3016598503;3016603097;3016718962;3016887055;3016896905;3016913922;3016985846;3017004717;3017121558;3017137752;3017173154;3017238282;3017458265;3017931441;3017952174;3018048856;3018166749;3018215425;3018266481;3018291571;3018564730;3018657751;3018697546;3019331223;3019382509;3019869898;3019970603;3019984118;3020290404;3020500629;3020528856;3020808330;3020808388,36258959;107606265;97018004;136199984;107606265;136199984;107606265;107606265;36258959;136199984;136199984;205582932;97018004;1285204247;97018004;107606265;107606265;97018004;136199984;154526488;107606265;32971472;107606265;1294671590;135140700;107606265;97018004;97018004;86987016;63966007;241749;107606265;107606265;63966007;32971472;32971472;86987016;28166907;170897317;36258959;86987016;107606265;136199984;1294671590;135140700;34809795;36258959;86987016;1284308235;901861585;36258959;1284308235;107606265;136199984;1283280774;28166907;2802422659;107606265;205582932;107606265;107606265;241749;177725633;107606265;107606265;177725633;107606265;107606265;136199984;107606265;1334415907;1283280774;1287163989;1324220072;107606265;161593684;2802422659;2802422659;1288882113;136199984;107606265;136199984;1324220072;2802422659;1324220072;136199984;1324220072,3013652902;3014446624;3015384489;3017088415;3019768930;3021686841;3023219191;3024048796;3024068183;3024197490;3025367557;3025378875;3025656246;3025939127;3027467148;3027762545;3028076261;3028356961;3030696362;3033052656;3034587529;3035876392;3036027609;3037850598;3038456204;3039335474;3039798227;3040113773;3040481179;3040711686;3040798307;3040999564;3042229821;3042426253;3043216367;3043318404;3044069820;3045185768;3047271749;3048541978;3048848460;3048851776;3049594282;3061119754;3081457929,2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
26,26,26,3048389895,19874,10.1038/S41467-020-17800-6,Journal,high throughput error corrected nanopore single cell transcriptome sequencing,High throughput error corrected Nanopore single cell transcriptome sequencing.,,2020,2020-08-12,2020-08-12,Springer Science and Business Media LLC,64187185.0,,,11.0,1.0,4025.0,,16,1,1,Nature Communications,3048389895.0,19282.0,2020-08-18,685263330;2319324131;2584667574;2805139492,1294671590;1294671590;1294671590;1294671590,3081470625,2020,nature communications,Nature Communications
27,27,27,2986870529,20089,10.1101/831495,Repository,high throughput error corrected nanopore single cell transcriptome sequencing,"High throughput, error corrected Nanopore single cell transcriptome sequencing",,2019,2019-11-05,,Cold Spring Harbor Laboratory,2734324842.0,,,,,831495.0,,14,6,6,bioRxiv,3048389895.0,19282.0,2019-11-22,685263330;2319324131;2584667574;2805139492,1294671590;1294671590;1294671590;1294671590,2999510651;2999649593;3017265965;3038452328;3045768899;3048152825,2020;2020;2020;2020;2020;2020,biorxiv,bioRxiv
28,28,28,3015352768,19430,10.1101/2020.04.10.022103,Repository,single cell atlas of a non human primate reveals new pathogenic mechanisms of covid 19,Single-cell atlas of a non-human primate reveals new pathogenic mechanisms of COVID-19,,2020,2020-04-10,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,57,3,3,bioRxiv,,,2020-04-17,2113953664;2128856877;2143160993;2162209056;2201441985;2240993880;2305690700;2342966778;2559912409;2570467540;2582673382;2595252054;2603975329;2668728334;2702947029;2710443483;2715525217;2752956925;2791674864;2792970678;2795414318;2803445189;2803953273;2804087673;2885168212;2898833720;2936264148;2936794630;2952695447;2981802733;2981862124;2981948855;2982347533;3015371997;3015899279;3016166684;3024113370;3025366808;3042713902;3066242477,241749;10660446;2802148028;10660446;2802148028;2802148028;2802148028,3021377320;3039335474;3048745453,2020;2020;2020,biorxiv,bioRxiv
29,29,29,3003746451,19282,10.2139/SSRN.3538700,Repository,integrated single cell analysis of human lung fibrosis resolves cellular origins of predictive protein signatures in body fluids,Integrated Single Cell Analysis of Human Lung Fibrosis Resolves Cellular Origins of Predictive Protein Signatures in Body Fluids,,2020,2020-02-20,2020-02-20,Cold Spring Harbor Laboratory Press,3005729997.0,,,,,,,35,4,4,medRxiv,,,2020-02-07,1346938537;2021428826;2043097299;2136386296;2136386296;2249990137;2265545752;2304351478;2328320988;2344790049;2439799317;2524332709;2628389560;2660535826;2725819380;2725876768;2779205944;2809509353;2949615573;2981237243;2983868885;3003242293,8204097;124055696;149899117;8204097;921990950;34809795;8204097;149899117;8204097;62916508,3026020717;3043344901;3043364944;3047028171,2020;2020;2020;2020,medrxiv,medRxiv
30,30,30,3003421376,20128,10.1038/S41598-020-58327-6,Journal,systematic comparison of high throughput single cell and single nucleus transcriptomes during cardiomyocyte differentiation,Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation.,,2020,2020-01-30,2020-01-30,Nature Publishing Group,196734849.0,,,10.0,1.0,1535.0,1535.0,32,13,13,Scientific Reports,3003421376.0,19594.0,2020-02-07,148663003;1977577330;2113074319;2196273134;2196273134;2554768012;2617864813;2770557637;2924305064;2924375238;2924440473;2924504453;2954400954,40347166;40347166;40347166;40347166;1282105669;40347166;40347166;40347166;40347166;40347166;40347166;40347166;40347166,2947494951;2994850755;3011122611;3014217152;3015790912;3023797901;3033158360;3034136770;3034424735;3036840669;3041223109;3041654509;3048562900,2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,scientific reports,Scientific Reports
31,31,31,3042439049,20511,10.1038/S41591-020-0868-6,,sars cov 2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes,SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes,,2020,2020-07-17,,Science Direct,,,,,,,,0,0,0,reponame:Expeditio Repositorio Institucional UJTL,,,2020-07-23,181025276;188985068;331618564;685263330;808621600;1701522494;1757423707;1835703061;1893730172;1969700334;1969793762;1993710734;2001397538;2013969016;2017281719;2038904718;2043097299;2060093159;2095696290;2095879290;2097729428;2116601406;2118532439;2123826026;2124450225;2131180689;2134222363;2136794430;2141486400;2144033795;2148389542;2155566185;2161691078;2171613815;2217285401;2229674059;2256754631;2265545752;2310190060;2338210167;2441348103;2487858617;2553391517;2620386393;2655910056;2776838311;2825627314;2917522478;2949109857;2973348851;2981080779;2983868885;2990210884;3014970491;3015125264;3026165763;3026235011;3026255363;3026274959;3026421869;3026579872;3026629388;3027325694;3027585263;3027734836;3027742293;3027831279;3028094697;3028178863;3028308799;3028335475;3032957854;3042250404;3042439971;3042509137;3042606317;3042633784;3043095020;3043178662;3043744896,,,,,
32,32,32,2990326030,20340,10.1101/853457,Repository,deep generative model embedding of single cell rna seq profiles on hyperspheres and hyperbolic spaces,Deep generative model embedding of single-cell RNA-Seq profiles on hyperspheres and hyperbolic spaces,,2019,2019-11-25,,Cold Spring Harbor Laboratory,2734324842.0,,,,,853457.0,,71,3,3,bioRxiv,,,2019-12-05,1893730172;2944179384,107606265;107606265,3035622618;3041129226;3043327744,2020;2020;2020,biorxiv,bioRxiv
33,33,33,2969303093,20945,10.1101/740415,Repository,gene set inference from single cell sequencing data using a hybrid of matrix factorization and variational autoencoders,Gene set inference from single-cell sequencing data using a hybrid of matrix factorization and variational autoencoders,,2019,2019-08-20,,Cold Spring Harbor Laboratory,2734324842.0,,,,,740415.0,,33,0,0,bioRxiv,,,2019-08-29,219304189;219304189;2681664849;2967206153;2968382843,7877124;2802164966;7877124;7877124;7877124,,,biorxiv,bioRxiv
34,34,34,2995773479,20195,10.1101/2019.12.12.871657,Repository,distinct microbial and immune niches of the human colon,Distinct microbial and immune niches of the human colon,,2019,2019-12-12,,Cold Spring Harbor Laboratory,2734324842.0,,,,,,,68,1,1,bioRxiv,,,2019-12-26,808621600;808621600;1972548115;1999816892;2017281719;2084137914;2097729428;2103895523;2106969419;2157727073;2160537808;2160910483;2169723020;2169723020;2277412805;2616613758;2884286235;2913723858;2997610120;2998340827;3006172043;3006202068;3006202068;3006412412;3006449024,241749;1303153112;241749;170203145;166337079;166337079;56590836;2802600346;2802466933;241749;170203145;56590836;2802600346;170203145,3009168905,2020,biorxiv,bioRxiv
35,35,35,2979767445,20511,10.1101/800748,Repository,segmentation free inference of cell types from in situ transcriptomics data,Segmentation-free inference of cell types from in situ transcriptomics data,,2019,2019-10-13,,Cold Spring Harbor Laboratory,2734324842.0,,,,,800748.0,,58,2,2,bioRxiv,,,2019-10-18,219304189;219304189;1964127995;2100767240;2165451340;2236833834;2236833834;2310583166;2531310854;2638420491;2789260913;2789260913;2979774195;2980292771;3007386509,7877124;223822909;17937529;1314596251;1314596251;28166907;2800139495;1314596251;28166907;1314596251;7877124;223822909;111088046;7877124;7877124,2966975430;3005867262,2019;2020,biorxiv,bioRxiv
36,36,36,3008278692,18911,10.1126/SCIENCE.AAY3224,Journal,a cell atlas of human thymic development defines t cell repertoire formation,A cell atlas of human thymic development defines T cell repertoire formation.,,2020,2020-02-21,2020-02-20,Newcastle University,3880285.0,,,367.0,6480.0,,,72,24,24,Science,,,2020-03-06,266576251;268520948;808621600;1838593635;1964242466;2000418716;2000418716;2014308265;2017281719;2067250673;2084137914;2084784121;2093860906;2093860906;2097729428;2108882956;2122116343;2129329611;2138533061;2155582066;2217285401;2233825738;2332709146;2510284968;2527985335;2613446890;2617991870;2625309547;2637325967;2800110390;2807128444;2807845296;2807845296;2884286235;2887826378;2939660585;2952572300;2964926575;2964926575;2981438241;2990580812;3002283692;3002487276;3007006718;3007006718;3007636882;3008042304,84884186;241749;32597200;32597200;170203145;2802466933;32597200;241749;241749;170203145;84884186;45129253;2801081054;241749;241749;84884186;84884186;241749;84884186;84884186;84884186;84884186;2801924861;84884186;241749;2801782436;84884186;84884186;32597200;84884186;2801924861;84884186;84884186;45129253;2801081054,3011483298;3011997984;3017087821;3020534897;3020611295;3021017266;3023925293;3024549394;3033161099;3034650555;3034759084;3036300785;3036742591;3037530277;3039465315;3041166024;3042407214;3045234572;3045836602;3046307945;3047606408;3049248297;3080668573;3081327186,2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020,science,Science
