Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Clinical Trials cited,Relative Citation Ratio
OT2OD026682,,2019,"Ding, Jun; Lin, Chieh; Bar-Joseph, Ziv",England,1362-4962,10,Nucleic acids research,Nucleic Acids Res,47,eng,e56,6547431,30820578,2019 06 04,Cell lineage inference from SNP and scRNA-Seq data.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,0.38
U54DK120058,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54DK120058,,2019,"Judd, Audra M; Gutierrez, Danielle B; Moore, Jessica L; Patterson, Nathan Heath; Yang, Junhai; Romer, Carrie E; Norris, Jeremy L; Caprioli, Richard M",England,1096-9888,8,Journal of mass spectrometry : JMS,J Mass Spectrom,54,eng,716-727,6711785,31254303,2019 Aug,A recommended and verified procedure for in situ tryptic digestion of formalin-fixed paraffin-embedded tissues for analysis by matrix-assisted laser desorption/ionization imaging mass spectrometry.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,2.65
U54HL145611,,2019,"Eng, Chee-Huat Linus; Lawson, Michael; Zhu, Qian; Dries, Ruben; Koulena, Noushin; Takei, Yodai; Yun, Jina; Cronin, Christopher; Karp, Christoph; Yuan, Guo-Cheng; Cai, Long",England,1476-4687,7751,Nature,Nature,568,eng,235-239,6544023,30911168,2019 04,Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,22.78
U54DK120058,,2019,"Spraggins, Jeffrey M; Djambazova, Katerina V; Rivera, Emilio S; Migas, Lukasz G; Neumann, Elizabeth K; Fuetterer, Arne; Suetering, Juergen; Goedecke, Niels; Ly, Alice; Van de Plas, Raf; Caprioli, Richard M",United States,1520-6882,22,Analytical chemistry,Anal Chem,91,eng,14552-14560,7382025,31593446,2019 11 19,High-Performance Molecular Imaging with MALDI Trapped Ion-Mobility Time-of-Flight (timsTOF) Mass Spectrometry.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,1.58
U54HL145611,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54DK120058,,2019,"Gessel, Megan M; Spraggins, Jeffrey M; Voziyan, Paul A; Abrahamson, Dale R; Caprioli, Richard M; Hudson, Billy G",United States,1558-9307,6-7,Lipids,Lipids,54,eng,411-418,6655412,31197846,2019 06,Two Specific Sulfatide Species Are Dysregulated during Renal Development in a Mouse Model of Alport Syndrome.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,
UG3HL145623,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54HL145608,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54DK120058,,2019,"Prentice, Boone M; McMillen, Josiah C; Caprioli, Richard M",Netherlands,1387-3806,,International journal of mass spectrometry,Int J Mass Spectrom,437,eng,30-37,6424509,30906202,2019 Mar,Multiple TOF/TOF Events in a Single Laser Shot for Multiplexed Lipid Identifications in MALDI Imaging Mass Spectrometry.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,0.6
U54DK120058,,2019,"Ryan, Daniel J; Patterson, Nathan Heath; Putnam, Nicole E; Wilde, Aimee D; Weiss, Andy; Perry, William J; Cassat, James E; Skaar, Eric P; Caprioli, Richard M; Spraggins, Jeffrey M",United States,1520-6882,12,Analytical chemistry,Anal Chem,91,eng,7578-7585,6652190,31149808,2019 06 18,"MicroLESA: Integrating Autofluorescence Microscopy, In Situ Micro-Digestions, and Liquid Extraction Surface Analysis for High Spatial Resolution Targeted Proteomic Studies.","Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,3.45
UG3HL145600,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
UG3HL145593,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54AI142766,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54HL145608,,2019,"Chen, Song; Lake, Blue B; Zhang, Kun",United States,1546-1696,12,Nature biotechnology,Nat Biotechnol,37,eng,1452-1457,6893138,31611697,2019 12,High-throughput sequencing of the transcriptome and chromatin accessibility in the same cell.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,3.87
UG3HL145593,,2019,"Yin, Ruichuan; Burnum-Johnson, Kristin E; Sun, Xiaofei; Dey, Sudhansu K; Laskin, Julia",England,1750-2799,12,Nature protocols,Nat Protoc,14,eng,3445-3470,6941488,31723300,2019 12,High spatial resolution imaging of biological tissues using nanospray desorption electrospray ionization mass spectrometry.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,1.4
UG3HL145609,,2019,HuBMAP Consortium,England,1476-4687,7777,Nature,Nature,574,eng,187-192,6800388,31597973,2019 10,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.56
U54DK120058,,2019,"Ryan, Daniel J; Spraggins, Jeffrey M; Caprioli, Richard M",England,1879-0402,,Current opinion in chemical biology,Curr Opin Chem Biol,48,eng,64-72,6382520,30476689,2019 02,Protein identification strategies in MALDI imaging mass spectrometry: a brief review.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,3.87
U54HL145611,,2019,"Pliner, Hannah A; Shendure, Jay; Trapnell, Cole",United States,1548-7105,10,Nature methods,Nat Methods,16,eng,983-986,6791524,31501545,2019 10,Supervised classification enables rapid annotation of cell atlases.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,5.09
U54DK120058,,2019,"Spraggins, Jeffrey M; Schwamborn, Kristina; Heeren, Ron M A; Eberlin, Livia S",Netherlands,2376-9998,,"Clinical mass spectrometry (Del Mar, Calif.)",Clin Mass Spectrom,12,eng,47-49,7263479,32483555,2019 Apr,The Importance of Clinical Tissue Imaging.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,
UG3HL145600,,2019,"Saka, Sinem K; Wang, Yu; Kishi, Jocelyn Y; Zhu, Allen; Zeng, Yitian; Xie, Wenxin; Kirli, Koray; Yapp, Clarence; Cicconet, Marcelo; Beliveau, Brian J; Lapan, Sylvain W; Yin, Siyuan; Lin, Millicent; Boyden, Edward S; Kaeser, Pascal S; Pihan, German; Church, George M; Yin, Peng",United States,1546-1696,9,Nature biotechnology,Nat Biotechnol,37,eng,1080-1090,6728175,31427819,2019 09,Immuno-SABER enables highly multiplexed and amplified protein imaging in tissues.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,4.62
OT2OD026671,,2019,"Börner, Katy; Bueckle, Andreas; Ginda, Michael",United States,1091-6490,6,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,116,eng,1857-1864,6369751,30718386,2019 02 05,"Data visualization literacy: Definitions, conceptual frameworks, exercises, and assessments.","Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,1.57
UG3HL145609,,2018,"Zhu, Qian; Shah, Sheel; Dries, Ruben; Cai, Long; Yuan, Guo-Cheng",United States,1546-1696,,Nature biotechnology,Nat Biotechnol,,eng,,6488461,30371680,2018 Oct 29,Identification of spatially associated subpopulations by combining scRNAseq and sequential fluorescence in situ hybridization data.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,1.79
OT2OD026671,,2018,"Börner, Katy; Rouse, William B; Trunfio, Paul; Stanley, H Eugene",United States,1091-6490,50,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,115,eng,12573-12581,6294920,30530683,2018 12 11,"Forecasting innovations in science, technology, and education.","Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,0.28
OT2OD026673,,2018,"Stoeckius, Marlon; Zheng, Shiwei; Houck-Loomis, Brian; Hao, Stephanie; Yeung, Bertrand Z; Mauck 3rd, William M; Smibert, Peter; Satija, Rahul",England,1474-760X,1,Genome biology,Genome Biol,19,eng,224,6300015,30567574,2018 12 19,Cell Hashing with barcoded antibodies enables multiplexing and doublet detection for single cell genomics.,"Related, PubMed","Related, Google Scholar","Cited By, PMC","Cited By, Google",,7.06
