Search Criteria:,"   Search in: Projects     AdminIC: All, FOA: RM17-025,RM17-027,RM18-001,RM19-002,RM20-001,RM20-002, Exclude Subprojects: Yes.   Fiscal Year: All Fiscal Years  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
Networking and Information Technology R&D,"Architecture;Atlases;Award;base;Blood;Brain imaging;BRAIN initiative;Budgets;Cancer Research Network;Cells;Censuses;Centers for Disease Control and Prevention (U.S.);Chicago;Cloud Computing;collaboratory;Collection;Complex;Computer software;computing resources;cost;cyber infrastructure;Data;data management;data resource;Data Science;Data Set;data sharing;Deposition;design;Ensure;experience;FaceBase;FAIR principles;flexibility;Goals;Grant;Healthcare;Human;Human body;Hybrids;Image;image archival system;Imagery;imaging scientist;Institutes;Lead;Leadership;Licensing;Maps;National Heart, Lung, and Blood Institute;National Institute of Dental and Craniofacial Research;National Institute of General Medical Sciences;open data;Output;Participant;peer networks;Philosophy;Process;programs;Recording of previous events;Reproducibility;Research;Research Infrastructure;Resources;Role;Running;Scientist;Security;Services;Site;Site Visit;social;software development;Solid;Structure;Supercomputing;System;Technology;Time;Tissues;tool;tumor;United States National Institutes of Health;Universities;usability;user centered design;virtual;Vision;Work;",Flexible Hybrid Cloud Infrastructure for Seamless Management of HuBMAP Resources,"To provide for the Infrastructure Component (IC) of the HuBMAP HIVE, Pittsburgh Supercomputing Center (PSC) and the University of Pittsburgh (Pitt) will create a flexible and scalable hybrid cloud infrastructure in close coordination with the HIVE Collaboratory, the HuBMAP Consortium, and stakeholders world wide. This proposed IC will seamlessly connect HuBMAP with storage and co-located compute resources for depositing, accessing, querying, searching, analyzing, and visualizing both raw and processed HuBMAP data. The IC will provide the open data platform for study of tissue organization and function through 3D biomolecular tissue maps in the spatial framework of the human body envisioned by HuBMAP.",OD,9687344,21-SEP-2018,RFA-RM-18-001,1OT2OD026675-01,1,OT2,OD,026675,01,,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,12023650,"BLOOD, PHILIP D. ","SILVERSTEIN, JONATHAN C.",18,NONE,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,OTHER DOMESTIC HIGHER EDUCATION,15213-3815,UNITED STATES, ,21-SEP-2018,20-JUN-2021,310,Others,2018,OD,481560,115418,596978,
Bioengineering;Machine Learning and Artificial Intelligence;Networking and Information Technology R&D (NITRD),Address;Anatomy;Artificial Intelligence;Atlases;base;Biometry;Cataloging;Catalogs;cell type;Cells;Classification;Clinical;Code;Communication;Communities;Computer Simulation;Computer software;computing resources;Data;data integration;data mining;Data Set;data visualization;design;Ecosystem;Educational workshop;Effectiveness;Endocrine system;Future;Genetic;Goals;hackathon;Human;Human body;human imaging;Image;Imagery;Individual;Infrastructure;interoperability;Investigation;Knowledge;Machine Learning;Maps;Mathematical Biology;member;Metadata;Methods;Modeling;Molecular;Ontology;Organ;Participant;Physiological;Physiology;Positioning Attribute;Production;Publications;Resolution;Resources;Running;Services;System;systematic review;Tissues;Update;usability;Vascular System;vector;Visual;Visualization software;Work;,"The Human Body Atlas: High-Resolution, Functional Mapping of Voxel, Vector, and Meta Datasets","Project Narrative This project will create a high-resolution, functional mapping of voxel, vector, and meta datasets in support of integration, interoperability, and visualization of biomedical HuBMAP data and models. We will create an ex- tensible common coordinate framework (CCF) to facilitate the integration of diverse image-based data at spa- tial scales ranging from the molecular to the anatomical. This project will work in close coordination with the HuBMAP consortium to help drive an ecosystem of useful resources for understanding and leveraging high- resolution human image data and to compile a human body atlas.",OD,9988039,11-SEP-2019,RFA-RM-18-001,3OT2OD026671-01S2,3,OT2,OD,026671,01,S2,"BEST, TYLER KORY",21-JUN-2019,20-JUN-2020,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,6869311,"BORNER, KATY ",Not Applicable,09,NONE,006046700,US,39.164557,-86.528225,577805,INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,IN,SCHOOLS OF ARTS AND SCIENCES,47401-3654,UNITED STATES, ,11-SEP-2019,20-JUN-2020,310,Others,2019,OD,31426,18070,49496,
Bioengineering;Networking and Information Technology R&D,Address;Anatomy;Artificial Intelligence;Atlases;base;Biometry;Cataloging;Catalogs;cell type;Cells;Classification;Clinical;Code;Communication;Communities;Computer Simulation;Computer software;computing resources;Data;data integration;data mining;Data Set;data visualization;design;Ecosystem;Educational workshop;Effectiveness;Endocrine system;Future;Genetic;Goals;hackathon;Human;Human body;human imaging;Image;Imagery;Individual;interoperability;Investigation;Knowledge;Machine Learning;Maps;Mathematical Biology;member;Metadata;Methods;Modeling;Molecular;Ontology;Organ;Participant;Physiological;Physiology;Positioning Attribute;Production;Publications;Research Infrastructure;Resolution;Resources;Running;Services;System;systematic review;Tissues;Update;usability;Vascular System;vector;Visual;Visualization software;Work;,"The Human Body Atlas: High-Resolution, Functional Mapping of Voxel, Vector, and Meta Datasets","Project Narrative This project will create a high-resolution, functional mapping of voxel, vector, and meta datasets in support of integration, interoperability, and visualization of biomedical HuBMAP data and models. We will create an ex- tensible common coordinate framework (CCF) to facilitate the integration of diverse image-based data at spa- tial scales ranging from the molecular to the anatomical. This project will work in close coordination with the HuBMAP consortium to help drive an ecosystem of useful resources for understanding and leveraging high- resolution human image data and to compile a human body atlas.",OD,9687220,21-SEP-2018,RFA-RM-18-001,1OT2OD026671-01,1,OT2,OD,026671,01,,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,6869311,"BORNER, KATY ",Not Applicable,09,NONE,006046700,US,39.164557,-86.528225,577805,INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,IN,SCHOOLS OF ARTS AND SCIENCES,47401-3654,UNITED STATES, ,21-SEP-2018,20-JUN-2021,310,Others,2018,OD,209524,120476,330000,
No NIH Category available.,Algorithms;Animals;Atlases;Bar Codes;base;Biology;Biopsy Specimen;Brain;Breast;Cell Differentiation process;cell type;Cells;Cities;combinatorial;computerized tools;Data;Data Set;dentate gyrus;Development;Disease;Ductal Epithelial Cell;Epigenetic Process;Epithelial;Epithelial-Stromal Communication;Epithelium;Expression Profiling;Fluorescent in Situ Hybridization;Future;Gene Expression;Genes;genomic data;Goals;granule cell;Hippocampus (Brain);Human;Human BioMolecular Atlas Program;Human body;human tissue;Image;Image Analysis;imaging system;Immunofluorescence Immunologic;In Situ;in situ imaging;insight;internal control;Introns;Letters;Machine Learning;mammary epithelium;Mammary gland;Mammary Gland Parenchyma;Maps;markov model;Measurement;Messenger RNA;Methods;Mus;Natural regeneration;Neuroglia;Neurons;Nuclear Structure;Pattern;Phase;Play;Positioning Attribute;Process;programs;Proteins;Protocols documentation;Publications;Publishing;Radial;Reaction;Role;sample fixation;scale up;Signal Transduction;single molecule;single-cell RNA sequencing;Slice;Speed;Stains;Standardization;System;Techniques;Technology;Time;Tissue imaging;Tissue Sample;Tissues;tool;Transcript;transcriptome;Translating;Translations;Validation;Weight;Work;,In situ transcriptome profiling in single cells,Narrative Transcriptome profiling in situ at the single cell level has transformative potential for understanding healthy versus diseased tissues in the human body. We propose an integrative approach profiling the nascent transcriptome as well as hundreds of mature transcripts in single cells in tissues. We will generate million cell spatial atlas for the mouse hippocampus as well as the human mammary tissue. We will gain unprecedented insight into the developmental of neurons in the brain as well as the duct cells in the breast. At the same time we will develop the computational tools to analyze the spatial genomics data.,NCI,10026445,13-JUL-2020,RFA-RM-17-025,4UH3CA255134-03,4,UH3,CA,255134,03,,"SRINIVAS, POTHUR R",25-SEP-2018,30-JUN-2021,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9523750,"CAI, LONG  ","YUAN, GUO-CHENG ",27,NONE,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,13-JUL-2020,30-JUN-2021,310,Research Projects,2020,OD,289886,110114,400000,
Bioengineering;Genetics;Human Genome;Neurosciences;Women's Health,Algorithms;Animals;Atlases;base;Biology;Biopsy Specimen;Brain;Breast;Cell Differentiation process;cell type;Cells;Cities;combinatorial;computerized tools;Data;data quality;Data Set;dentate gyrus;Development;Disease;Ductal Epithelial Cell;Epigenetic Process;Epithelium;Expression Profiling;Fluorescent in Situ Hybridization;Future;Gene Expression;Genes;genomic data;Goals;granule cell;Hippocampus (Brain);Human;Human body;human tissue;Image;Image Analysis;imaging system;Immunofluorescence Immunologic;In Situ;in situ imaging;insight;internal control;Introns;Letters;Machine Learning;mammary epithelium;Mammary gland;Mammary Gland Parenchyma;Maps;markov model;Measurement;Messenger RNA;Methods;Mus;Natural regeneration;Neuroglia;Neurons;Nuclear Structure;Pattern;Phase;Play;Positioning Attribute;Process;programs;Proteins;Protocols documentation;Publications;Publishing;Radial;Reaction;Role;sample fixation;scale up;Signal Transduction;single molecule;Slice;Speed;Stains;Standardization;System;Techniques;Technology;Time;Tissue imaging;Tissue Sample;Tissues;tool;Transcript;transcriptome;transcriptome sequencing;Translating;Translations;Validation;Weight;Work;,In situ transcriptome profiling in single cells,Narrative Transcriptome profiling in situ at the single cell level has transformative potential for understanding healthy versus diseased tissues in the human body. We propose an integrative approach profiling the nascent transcriptome as well as hundreds of mature transcripts in single cells in tissues. We will generate million cell spatial atlas for the mouse hippocampus as well as the human mammary tissue. We will gain unprecedented insight into the developmental of neurons in the brain as well as the duct cells in the breast. At the same time we will develop the computational tools to analyze the spatial genomics data.,NHLBI,9791198,24-JUL-2019,RFA-RM-17-025,5UG3HL145609-02,5,UG3,HL,145609,02,,"SRINIVAS, POTHUR R",25-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9523750,"CAI, LONG  ","YUAN, GUO-CHENG ",27,NONE,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Projects,2019,OD,306299,68701,375000,
Bioengineering;Genetics;Human Genome;Neurosciences;Women's Health,Algorithms;Animals;Atlases;base;Biology;Biopsy Specimen;Brain;Breast;Cell Differentiation process;cell type;Cells;Cities;combinatorial;computerized tools;Data;data quality;Data Set;dentate gyrus;Development;Disease;Ductal Epithelial Cell;Epigenetic Process;Epithelium;Expression Profiling;Fluorescent in Situ Hybridization;Future;Gene Expression;Genes;genomic data;Goals;granule cell;Hippocampus (Brain);Human;Human body;human tissue;Image;Image Analysis;imaging system;Immunofluorescence Immunologic;In Situ;in situ imaging;insight;internal control;Introns;Letters;Machine Learning;mammary epithelium;Mammary gland;Mammary Gland Parenchyma;Maps;markov model;Measurement;Messenger RNA;Methods;Mus;Natural regeneration;Neuroglia;Neurons;Nuclear Structure;Pattern;Phase;Play;Positioning Attribute;Process;programs;Proteins;Protocols documentation;Publications;Publishing;Radial;Reaction;Role;sample fixation;scale up;Signal Transduction;single molecule;Slice;Speed;Stains;Standardization;System;Techniques;Technology;Time;Tissue imaging;Tissue Sample;Tissues;tool;Transcript;transcriptome;transcriptome sequencing;Translating;Translations;Validation;Weight;Work;,In situ transcriptome profiling in single cells,Narrative Transcriptome profiling in situ at the single cell level has transformative potential for understanding healthy versus diseased tissues in the human body. We propose an integrative approach profiling the nascent transcriptome as well as hundreds of mature transcripts in single cells in tissues. We will generate million cell spatial atlas for the mouse hippocampus as well as the human mammary tissue. We will gain unprecedented insight into the developmental of neurons in the brain as well as the duct cells in the breast. At the same time we will develop the computational tools to analyze the spatial genomics data.,NHLBI,9660361,22-SEP-2018,RFA-RM-17-025,1UG3HL145609-01,1,UG3,HL,145609,01,,"SRINIVAS, POTHUR R",25-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9523750,"CAI, LONG  ","YUAN, GUO-CHENG ",27,NONE,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,25-SEP-2018,30-JUN-2019,310,Research Projects,2018,OD,308499,66501,375000,
No NIH Category available.,3-Dimensional;Age;age related;Algorithms;analytical tool;Anatomy;Architecture;Arteries;ATAC-seq;Atlases;base;Benchmarking;Blood;Blood capillaries;Blood Vessels;body system;Brain;Brain Death;brain tissue;Cardiovascular system;cell type;Cells;Chromatin;Classification;Collection;combinatorial;Consent;Data;Data Set;data sharing;Disease;diverse data;Drug or chemical Tissue Distribution;Endothelial Cells;Endothelium;Exhibits;experimental study;Expression Profiling;Foundations;Gene Expression;Gene Expression Profile;Gene Expression Regulation;Gene Proteins;Genes;Genome;Genomics;Goals;Heart;Heterogeneity;Homeostasis;hormonal signals;Hormones;Human;Human BioMolecular Atlas Program;Human body;human tissue;Hypertension;Image;imaging approach;Imaging Techniques;Immunity;improved;interactive tool;Knowledge;Lymphatic;Maps;Measurement;member;Messenger RNA;Metabolism;Metadata;Methods;Molecular;multiplexed imaging;Myocardial Infarction;Nutrient;Organ;Organ Donor;oxygen transport;Pathogenesis;Pattern;Portraits;preservation;programs;Proteins;Research;Research Personnel;Resolution;Respiration;RNA;Role;Sampling;scale up;single cell sequencing;single molecule;Surveys;Technology;Tissues;transcriptome;transcriptome sequencing;transcriptomics;United States National Institutes of Health;Variant;vascular bed;Vascular System;Veins;Venous;Work;XCL1 gene;,A Spatially Resolved Molecular Atlas of Human Endothelium,"NARRATIVE The vascular or circulatory system consists of the arteries and veins that use blood to transport oxygen, nutrients and hormones throughout the body. We propose to map the organization and function of the circulatory system, including exploring molecular differences between the vascular systems of different organs such as the brain and heart. These maps will serve as the foundation for studying vascular-related diseases such as hypertension and heart attacks.",NHLBI,9966762,17-JUN-2020,RFA-RM-17-027,5U54HL145611-03,5,U54,HL,145611,03,,"CHARETTE, MARC F",20-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,9523750,"CAI, LONG  ","SHENDURE, JAY ASHOK;TRAPNELL, BRUCE COLSTON",27,CHEMISTRY,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Centers,2020,OD,1671333,221326,1892659,
No NIH Category available.,3-Dimensional;Age;age related;Algorithms;analytical tool;Anatomy;Architecture;Arteries;ATAC-seq;Atlases;base;Benchmarking;Blood;Blood capillaries;Blood Vessels;body system;Brain;Brain Death;brain tissue;Cardiovascular system;cell type;Cells;Chromatin;Classification;Collection;combinatorial;Consent;Data;Data Set;data sharing;Disease;Drug or chemical Tissue Distribution;Endothelial Cells;Endothelium;Exhibits;experimental study;Expression Profiling;Foundations;Gene Expression;Gene Expression Profile;Gene Expression Regulation;Gene Proteins;Genes;Genome;Genomics;Goals;Heart;Heterogeneity;Homeostasis;hormonal signals;Hormones;Human;Human body;human tissue;Hypertension;Image;imaging approach;Imaging Techniques;Immunity;improved;interactive tool;Knowledge;Lymphatic;Maps;Measurement;member;Messenger RNA;Metabolism;Metadata;Methods;Molecular;multiplexed imaging;Myocardial Infarction;Nutrient;Organ;Organ Donor;oxygen transport;Pathogenesis;Pattern;Portraits;preservation;programs;Proteins;Research;Research Personnel;Resolution;Respiration;RNA;Role;Sampling;scale up;single cell sequencing;single molecule;Surveys;Technology;Tissues;transcriptome;transcriptome sequencing;transcriptomics;United States National Institutes of Health;Variant;vascular bed;Vascular System;Veins;Venous;Work;XCL1 gene;,A Spatially Resolved Molecular Atlas of Human Endothelium,"NARRATIVE The vascular or circulatory system consists of the arteries and veins that use blood to transport oxygen, nutrients and hormones throughout the body. We propose to map the organization and function of the circulatory system, including exploring molecular differences between the vascular systems of different organs such as the brain and heart. These maps will serve as the foundation for studying vascular-related diseases such as hypertension and heart attacks.",NHLBI,9785604,26-JUN-2019,RFA-RM-17-027,5U54HL145611-02,5,U54,HL,145611,02,,"CHARETTE, MARC F",20-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,9523750,"CAI, LONG  ","SHENDURE, JAY ASHOK;TRAPNELL, BRUCE COLSTON",27,CHEMISTRY,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Centers,2019,OD,960046,121500,983269,
No NIH Category available.,Age;age related;Algorithms;analytical tool;Anatomy;Architecture;Arteries;ATAC-seq;Atlases;base;Benchmarking;Blood;Blood capillaries;Blood Vessels;body system;Brain;Brain Death;brain tissue;Cardiovascular system;cell type;Cells;Chromatin;Classification;Collection;combinatorial;Consent;Data;Data Set;data sharing;Disease;Drug or chemical Tissue Distribution;Endothelial Cells;Endothelium;Exhibits;experimental study;Expression Profiling;Foundations;Gene Expression;Gene Expression Profile;Gene Expression Regulation;Gene Proteins;Genes;Genome;Genomics;Goals;Heart;Heterogeneity;Homeostasis;hormonal signals;Hormones;Human;Human body;human tissue;Hypertension;Image;imaging approach;Imaging Techniques;Immunity;improved;interactive tool;Knowledge;Lymphatic;Maps;Measurement;member;Messenger RNA;Metabolism;Metadata;Methods;Molecular;Myocardial Infarction;Nutrient;Organ;Organ Donor;oxygen transport;Pathogenesis;Pattern;Portraits;programs;Proteins;Research;Research Personnel;Resolution;Respiration;RNA;Role;Sampling;scale up;single cell sequencing;single molecule;Surveys;Technology;Tissues;transcriptome;transcriptome sequencing;transcriptomics;United States National Institutes of Health;Variant;vascular bed;Vascular System;Veins;Venous;Work;XCL1 gene;,A Spatially Resolved Molecular Atlas of Human Endothelium,"NARRATIVE The vascular or circulatory system consists of the arteries and veins that use blood to transport oxygen, nutrients and hormones throughout the body. We propose to map the organization and function of the circulatory system, including exploring molecular differences between the vascular systems of different organs such as the brain and heart. These maps will serve as the foundation for studying vascular-related diseases such as hypertension and heart attacks.",NHLBI,9660373,14-SEP-2018,RFA-RM-17-027,1U54HL145611-01,1,U54,HL,145611,01,,"CHARETTE, MARC F",20-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,9523750,"CAI, LONG  ","SHENDURE, JAY ASHOK;TRAPNELL, BRUCE COLSTON",27,CHEMISTRY,009584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,20-SEP-2018,30-JUN-2019,310,Research Centers,2018,OD,488749,77625,566374,
No NIH Category available.,3-Dimensional;Academic Medical Centers;Applications Grants;Atlases;body system;bone;Cells;Clinical;Clinical Data;Collection;computing resources;Data;data acquisition;Data Set;Development;Dimensions;Disease;Ensure;Environment;ex vivo imaging;Excision;Freezing;Funding;Generations;Health;High Resolution Computed Tomography;Histologic;Histology;Human;Human BioMolecular Atlas Program;human tissue;Image;imaging modality;Imaging technology;in vivo;innovation;insight;Kidney;Laboratories;Lipids;Magnetic Resonance Imaging;Mass Spectrum Analysis;Medical center;Medical Imaging;member;Microscopy;Mission;Modality;Molecular;Molecular Analysis;Monitor;Multimodal Imaging;Normal tissue morphology;Operative Surgical Procedures;Organ;Pancreas;Participant;Performance;Physicians;Positioning Attribute;Preparation;preservation;Procedures;Process;programs;Proteins;quality assurance;Quality Control;Research;Research Personnel;Resources;Sampling;Scientist;Source;Specimen;Standardization;Surface;System;Technical Expertise;Techniques;Technology;Testing;Three-Dimensional Imaging;Tissues;United States National Institutes of Health;Universities;X-Ray Computed Tomography;,Vanderbilt University Biomolecular Multimodal Imaging Center for 3-Dimensional Tissue Mapping,"PROJECT NARRATIVE - Overall This application proposes the founding of the BIOmolecular Multimodal Imaging Center (BIOMIC) at Vanderbilt University, a Tissue Mapping Center associated with the Human BioMolecular Atlas Program (HuBMAP). The mission of BIOMIC is to build a platform of integrated technologies for imaging and molecular analysis that enables the construction of comprehensive 3-dimensional molecular atlases of human tissues. BIOMIC leverages the unique analytical and computational resources of the Mass Spectrometry Research Center and the National Research Resource for Imaging Mass Spectrometry at Vanderbilt University along with the world- class clinical environment of the Vanderbilt University Medical Center and unique technical expertise at Delft University of Technology to create a capability to characterize human tissues at a level of understanding unrivaled by current technologies.",NIDDK,10187500,23-JUN-2020,RFA-RM-17-027,5U54DK120058-03,5,U54,DK,120058,03,,"BRUNSKILL, ERIC WAYNE",24-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,6691073,"CAPRIOLI, RICHARD M ","SPRAGGINS, JEFFREY M",05,BIOCHEMISTRY,965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF MEDICINE,37203,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Centers,2020,OD,1619741,380259,2000000,
No NIH Category available.,3-Dimensional;Academic Medical Centers;Applications Grants;Atlases;body system;bone;Cells;Clinical;Clinical Data;Collection;computing resources;Data;data acquisition;data quality;Data Set;Development;Dimensions;Disease;Ensure;Environment;ex vivo imaging;Excision;Freezing;Funding;Generations;Health;High Resolution Computed Tomography;Histologic;Histology;Human;human tissue;Image;Image Analysis;imaging modality;Imaging technology;in vivo;innovation;insight;Kidney;Laboratories;Lipids;Magnetic Resonance Imaging;Mass Spectrum Analysis;Medical center;Medical Imaging;member;Microscopy;Mission;Modality;Molecular;Molecular Analysis;Monitor;Multimodal Imaging;Normal tissue morphology;Operative Surgical Procedures;Organ;Pancreas;Participant;Performance;Physicians;Positioning Attribute;Preparation;preservation;Procedures;Process;programs;Proteins;quality assurance;Quality Control;Research;Research Personnel;Resources;Sampling;Scientist;Source;Specimen;Standardization;Surface;System;Technical Expertise;Techniques;Technology;Testing;Three-Dimensional Imaging;Tissues;United States National Institutes of Health;Universities;X-Ray Computed Tomography;,Vanderbilt University Biomolecular Multimodal Imaging Center for 3-Dimensional Tissue Mapping,"PROJECT NARRATIVE - Overall This application proposes the founding of the BIOmolecular Multimodal Imaging Center (BIOMIC) at Vanderbilt University, a Tissue Mapping Center associated with the Human BioMolecular Atlas Program (HuBMAP). The mission of BIOMIC is to build a platform of integrated technologies for imaging and molecular analysis that enables the construction of comprehensive 3-dimensional molecular atlases of human tissues. BIOMIC leverages the unique analytical and computational resources of the Mass Spectrometry Research Center and the National Research Resource for Imaging Mass Spectrometry at Vanderbilt University along with the world- class clinical environment of the Vanderbilt University Medical Center and unique technical expertise at Delft University of Technology to create a capability to characterize human tissues at a level of understanding unrivaled by current technologies.",NIDDK,9789030,30-JUL-2019,RFA-RM-17-027,5U54DK120058-02,5,U54,DK,120058,02,,"HOSHIZAKI, DEBORAH K",24-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,6691073,"CAPRIOLI, RICHARD M ","SPRAGGINS, JEFFREY M",05,BIOCHEMISTRY,965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF MEDICINE,37203,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Centers,2019,OD,737169,262831,1000000,
No NIH Category available.,3-Dimensional;Academic Medical Centers;Applications Grants;Atlases;body system;bone;Cells;Clinical;Clinical Data;Collection;computing resources;Data;data acquisition;data quality;Data Set;Development;Dimensions;Disease;Ensure;Environment;ex vivo imaging;Excision;Freezing;Funding;Generations;Health;High Resolution Computed Tomography;Histologic;Histology;Human;human tissue;Image;Image Analysis;imaging modality;Imaging technology;in vivo;innovation;insight;Kidney;Laboratories;Lipids;Magnetic Resonance Imaging;Mass Spectrum Analysis;Medical center;Medical Imaging;member;Microscopy;Mission;Modality;Molecular;Molecular Analysis;Monitor;Multimodal Imaging;Normal tissue morphology;Operative Surgical Procedures;Organ;Pancreas;Participant;Performance;Physicians;Positioning Attribute;Preparation;Procedures;Process;programs;Proteins;quality assurance;Quality Control;Research;Research Personnel;Resources;Sampling;Scientist;Source;Specimen;Standardization;Surface;System;Technical Expertise;Techniques;Technology;Testing;Three-Dimensional Imaging;Tissues;United States National Institutes of Health;Universities;X-Ray Computed Tomography;,Vanderbilt University Biomolecular Multimodal Imaging Center for 3-Dimensional Tissue Mapping,"PROJECT NARRATIVE - Overall This application proposes the founding of the BIOmolecular Multimodal Imaging Center (BIOMIC) at Vanderbilt University, a Tissue Mapping Center associated with the Human BioMolecular Atlas Program (HuBMAP). The mission of BIOMIC is to build a platform of integrated technologies for imaging and molecular analysis that enables the construction of comprehensive 3-dimensional molecular atlases of human tissues. BIOMIC leverages the unique analytical and computational resources of the Mass Spectrometry Research Center and the National Research Resource for Imaging Mass Spectrometry at Vanderbilt University along with the world- class clinical environment of the Vanderbilt University Medical Center and unique technical expertise at Delft University of Technology to create a capability to characterize human tissues at a level of understanding unrivaled by current technologies.",NIDDK,9659596,19-SEP-2018,RFA-RM-17-027,1U54DK120058-01,1,U54,DK,120058,01,,"HOSHIZAKI, DEBORAH K",24-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-BST-J (50)R),,6691073,"CAPRIOLI, RICHARD M ","SPRAGGINS, JEFFREY M",05,BIOCHEMISTRY,965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF MEDICINE,37203,UNITED STATES, ,24-SEP-2018,30-JUN-2019,310,Research Centers,2018,OD,314746,135254,450000,
