subd_id	subd_name	disc_id	x	y	size
94	Statistics	13	105.111824	187.49751	2.66
95	Applied Economics	13	500	130.97015	1.8
96	Automatic Control	7	147.92332	193.64178	4.66
97	Atmospheric Science	6	238.01917	57.238808	2.86
98	Automotive Engineering	4	179.23323	181.35324	2.8
99	BioStatistics	13	498.08307	192.41293	1.79
100	Employee Health Benefit Plans	12	395.84665	257.5423	2.37
101	Transplantation	3	357.508	154.3184	3.88
102	Alloys	4	186.26198	230.50746	5.47
103	Astronomy & Astrophysics	11	170.92651	221.90547	8
104	Substance-abuse Treatment	12	425.8786	182.58209	2.08
105	Research Policy; Technology Management	13	494.88818	156.77612	2.14
106	Drug Discovery	12	365.8147	246.48259	2.12
107	Animal Science	10	297.4441	110.079605	4.09
108	Chaos Fractals & Complexity	11	158.14696	236.65175	5.62
109	Environmental Contamination	1	276.35782	75.67164	2.24
110	Otolaryngology; Laryngoscope	8	375.39935	165.37811	3.28
111	Mechanical Design Engineering	4	170.28754	191.18408	3.09
112	Classics	9	484.02557	38.80597	1.67
113	Biological Conservation	1	262.9393	58.467663	2.37
114	Thoracic Surgery	3	365.17572	161.69154	4.54
115	Phytochemistry	5	294.2492	221.90547	3.78
116	Tropical Medicine	10	319.16934	99.0199	2.94
117	Food Protection	2	306.38977	139.57214	2.36
118	Broadband Communication	7	142.17253	192.41293	2.19
119	Energy Fuel	4	204.79233	170.29353	2.63
120	Soil Quality	4	250.79872	83.04478	1.83
121	Integrated Circuit Design	7	144.72844	197.32835	2.54
122	Philosophy Psychology	9	492.32568	29.519371	2.33
123	Construction & Project Management	13	499.59268	155.01884	1.74
124	Social Psychology	13	461.66135	165.37811	2.19
125	High Energy Physics	11	172.84177	231.34332	7.62
126	Strategic Management	13	491.6933	154.3184	2.3
127	Genomics & Nucleic Acids	2	315.97443	108.850746	4.48
128	Heat Transfer	4	191.3738	197.32835	3.04
129	Cement & Concrete	4	207.34824	170.29353	2.4
130	Pathology	3	350.47925	143.25871	3.44
131	Pest Management Science	1	289.1374	70.75622	2.1
132	Corrosion	4	207.34824	245.25374	2.3
133	Veterinary Science	10	310.22363	114.995026	3.12
134	Teacher Education; Evaluation	13	476.35782	153.08955	1.76
135	Stem Cells	3	335.78275	170.29353	2.64
136	Image Processing	7	136.42172	199.78607	2.66
137	Neural Networks	7	133.22684	188.72636	2.46
138	Nursing Education	12	411.1821	245.25374	1.85
139	Intensive Care	3	365.8147	167.83582	3.1
140	Alternative Complementary Medicine	12	372.20447	189.95523	1.9
141	Petroleum Engineering	4	205.88202	136.76195	1.82
142	Music & Theatre	9	482.7476	13	2.03
143	Memory & Cognition	8	426.51758	162.9204	1.95
144	Vision	8	405.4313	177.66667	2.51
145	Communication Research	13	487.22046	145.71642	1.94
146	BioInformatics	2	305.11182	133.42786	1.96
147	Mechanics of Solids & Structures	4	183.0671	196.0995	2.65
148	Pharmacy	3	354.3131	198.55722	2.35
149	Geomorphology	6	234.82428	53.55224	1.84
150	Psychosis; Schizophrenia	8	416.2939	171.52238	2.89
151	BioEthics	12	392.0128	252.62686	1.8
152	Parallel Computing	7	138.97763	180.12437	2.09
153	Power Distribution	7	150.47923	203.47264	2.94
154	Gerontology	12	435.46326	188.72636	1.84
155	Wood	4	206.70926	197.32835	1.9
156	Discrete Applied Mathematics	11	130.03195	208.38806	2.56
157	Geology & Tectonics	6	227.53946	51.01821	2.63
158	GeoChemistry	6	228.43451	44.95025	1.76
159	Mobile Networks	7	136.42172	188.72636	1.79
160	Artificial Intelligence	7	130.67093	183.81094	1.99
161	Electro Analytical Chemistry	5	249.52077	241.56717	4.21
162	Dental Education	12	376.6773	232.96518	2.06
163	Enzyme Microbiological Techniques	2	295.52716	142.02985	2.27
164	Library Science; Information Retrieval	7	108.94569	167.83582	1.96
165	Biomaterials	12	370.28754	204.70149	3.55
166	Quaternary Research	6	232.90735	43.721394	1.79
167	Endoscopic Surgery	3	362.6198	113.76617	2.44
168	Composites	4	195.20767	201.01492	2.38
169	Language Learning	13	472.52396	112.537315	1.43
170	American History	9	485.30353	58.467663	1.24
171	Leadership & Organizational Behavior	13	492.97125	158.00497	1.62
172	Agricultural Engineering	4	252.71565	99.0199	1.81
173	Computer-Aided Process Planning	13	114.05751	172.75125	2.55
174	Geriatrics	8	420.1278	169.06468	2.31
175	Solid State Electronics	7	163.89777	223.13432	3.4
176	Optics & Lasers	11	174.98329	235.62636	5.23
177	Wool	4	210.86365	198.06557	1.81
178	Biomechanics	12	376.6773	189.95523	2.2
179	Molecular Physics	5	198.40256	251.39801	5.67
180	Comparative Animal Physiology	1	276.9968	57.238808	2.08
181	Political Science	13	485.30353	124.825874	1.63
182	Science History	9	487.85944	41.263683	1.42
183	Poetry	9	485.30353	36.34826	1.64
184	Nuclear Medicine	3	370.28754	128.51244	2.32
185	Nanotechnology	5	197.1246	237.8806	3.81
186	Speech Recognition	7	139.61661	201.01492	3.4
187	Fluid Mechanics	4	184.34505	196.0995	2.44
188	Computer Graphics	7	133.86581	196.0995	1.77
189	Filtration Membrane	4	218.21086	202.24377	2.28
190	Clinical Infectious Disease	3	337.0607	140.801	2.86
191	Prosthetic Dentistry	12	371.5655	223.13432	1.95
192	Orthodontics	12	367.73163	215.7612	1.95
193	Robotic Systems	7	144.08946	191.18408	3
194	Dental Research	12	369.64856	221.90547	2.24
195	Atomic Spectrometry	5	274.4409	229.27861	2.03
196	Botany	1	275.07986	80.58707	2.04
197	Public Health Service	12	371.5655	260	1.99
198	Political Geography	13	487.22046	124.825874	1.82
199	Catalysis	5	223.96165	232.96518	4.58
200	Radiation Protection	3	376.03833	111.30846	2.46
201	Machine Tools	4	178.59425	221.90547	2.22
202	Veterinary Medicine	10	307.02875	117.452736	2.51
203	Periodontology	12	366.45367	218.2189	2.13
204	Birth Defects	3	358.14697	172.75125	1.8
205	Thrombosis	3	358.14697	176.4378	2.2
206	Freshwater Biology	1	260.3834	53.55224	1.49
207	Mental Health Nursing	12	416.2939	235.42288	2.13
208	Artificial Evolution	7	124.28115	181.35324	1.83
209	English Literature	9	486.00742	40.889866	3.64
210	Plastic Surgery	12	371.5655	187.49751	2.93
211	Nursing Administration	12	407.34824	251.39801	1.6
212	Higher Education	13	486.58148	155.54726	3.06
213	Ecology	1	271.246	58.467663	2.11
214	Modern Language	9	480.7256	35.306896	1.81
215	Neurophysiology & Neuroscience	8	392.65176	161.69154	4.03
216	Mining	4	204.15335	153.08955	1.66
217	Aquaculture	1	279.5527	62.15423	2.31
218	Molecular Biological Evolution	1	287.22046	64.61194	2.13
219	Photonics	11	167.09265	237.8806	3.31
220	Urban Studies	13	487.85944	130.97015	1.53
221	Functional Analysis	11	134.50479	218.2189	1.9
222	Linguistics	9	480.19168	53.55224	2.1
223	Photo-Optics	7	165.17572	228.04974	2.22
224	Spine	12	377.31628	173.9801	2.61
225	Robotics	7	153.67412	189.95523	1.79
226	Audiology	12	393.92972	159.23383	1.49
227	Soil Science	4	249.52077	75.67164	2.58
228	Simulation	11	154.3131	218.2189	1.73
229	Nuclear Instrumentation	11	170.28754	236.65175	5.39
230	Hispanic Studies	9	482.25647	41.52221	1.44
231	Forest Science	1	262.9393	69.52737	2.19
232	Plasma Physics	11	168.3706	232.96518	4.28
233	Proteomics	2	305.11182	158.00497	2.04
234	Symbolic Interaction	13	476.35782	145.71642	1.31
235	Child & Adolescent Psychiatry	8	438.65814	170.29353	1.59
236	General Practice	12	393.29074	242.79602	1.77
237	Environmental Management	13	495.52716	127.283585	1.53
238	Diabetes Metabolism	3	352.39618	202.24377	2.52
239	Geotechnical Engineering	4	211.18211	144.48756	2.23
240	Instrumentation	7	160.0639	225.59204	3.3
241	Clinical Chemistry	3	353.03516	169.06468	2.27
242	Fluid Engineering	4	193.92972	176.4378	1.93
243	Arthroscopy	12	379.23322	176.4378	2.12
244	Eating Disorders; Sex Roles	13	457.82748	169.06468	1.44
245	Water Quality & Resource Management	4	227.79553	114.995026	1.46
246	Ethnic Migration	13	487.22046	119.910446	1.32
247	Geriatric Psychiatry	8	416.2939	169.06468	1.64
248	Sound & Vibration	4	179.87221	178.89552	2.72
249	Ore Processing	4	199.04153	181.35324	1.73
250	Ethnology	13	485.30353	99.0199	1.64
251	Prenatal Diagnostics	3	354.9521	164.14925	1.89
252	Cancer (translated)	3	367.09265	138.34328	2.07
253	Dielectrics	7	158.78595	219.44775	1.7
254	Atmospheric GeoPhysics	6	239.29712	49.865673	3.46
255	Flavors & Fragrance	5	284.66455	223.13432	1.95
256	Numerical Methods in Engineering	4	179.87221	197.32835	2.32
257	EthnoPharmacology	5	302.5559	223.13432	2.6
258	Electrocardiography	3	362.6198	181.35324	2.36
259	International Development	13	496.8051	126.054726	1.42
260	Electrochemistry	4	206.70926	235.42288	4.04
261	Political Studies	13	485.30353	128.51244	1.6
262	Molecular Endocrinology	3	344.72842	181.35324	3.03
263	Surface Coating Technology	11	183.0671	229.27861	3.95
264	Molecular Biochemical Parasitology	1	310.22363	87.9602	1.79
265	Vocational Counseling	13	469.32907	158.00497	1.35
266	Oil & Natural Gas	4	211.62347	135.9964	1.87
267	International Conflict	13	484.66455	119.910446	1.78
268	Art History	9	488.64224	36.667618	2.26
269	Applied Catalysis	5	226.51758	232.96518	1.66
270	Agricultural Economics	13	102.611786	128.38821	1.39
271	Social Work	13	459.74442	159.23383	1.52
272	Medical Insurance	12	389.45688	247.71144	1.85
273	Fluid Phase Equilibrium	4	214.377	230.50746	2.06
274	Biotechnology Trends	2	308.94568	129.74129	1.56
275	Air Quality	6	234.82428	43.721394	1.96
276	Search Engines; Web Crawling	7	112.77956	169.06468	1.43
277	Colloid	5	211.82109	232.96518	2.16
278	Applied Physiology; Muscle	12	369.00958	197.32835	2.51
279	Biblical Literature	9	486.93	38.386612	2.16
280	Fault Tolerant Computing	7	142.81151	193.64178	1.4
281	Third World Political Economics	13	490.76486	125.15601	1.57
282	Public Hospitals	12	397.1246	256.31345	1.55
283	Sociology	13	483.3866	142.02985	1.43
284	Horticulture	1	268.6901	86.731346	2.58
285	Bone & Osteoporosis	3	360.0639	189.95523	1.82
286	Radiation Therapy	3	368.3706	135.88557	2.34
287	Water Treatment	4	225.8786	135.88557	1.84
288	Spyware; Malware	7	138.97763	182.58209	1.84
289	Behavioral Research Therapy	12	443.13098	166.60696	1.47
290	Science Education	13	475.71884	142.02985	1.99
291	Design & Analysis of Algorithms	11	125.559105	189.95523	1.63
292	Hospice Care	12	383.06708	214.53233	1.6
293	Climatology	6	239.29712	58.467663	1.89
294	Crop Science	1	276.35782	94.10448	2.37
295	Fuzzy Sets	7	134.50479	189.95523	2.03
296	Vehicle System Design	4	188.81789	165.37811	1.75
297	Transfusion	3	342.57495	154.99394	1.73
298	AIDS Treatment	12	399.6805	260	1.45
299	Wireless Communication	7	143.45049	202.24377	2.98
300	Atherosclerosis	3	354.9521	177.66667	2.16
301	Region & Medical Ethics	12	392.65176	252.62686	1.22
302	Speech Language & Hearing	8	428.4345	158.00497	1.37
303	Thoracic & Respiratory	3	347.1342	153.9053	1.74
304	Veterinary Microbiology	10	309.58466	121.139305	2.19
305	Environmental Protection	4	249.52077	100.24876	2.23
306	Computer Systems Design	7	131.99423	178.92197	1.44
307	Environmental Pollution	4	248.24281	90.41791	1.74
308	Electrical Networks	7	150.47923	208.38806	1.92
309	Endoscopy	3	359.9301	79.930626	2.47
310	Chemistry & Material Science	5	207.98721	246.48259	3.41
311	Medical Screening & Epidemiology	12	352.39618	229.27861	1.92
312	Child Development	13	446.96484	164.14925	1.6
313	Pain	12	383.06708	181.35324	1.83
314	Public Administration	13	487.85944	142.02985	1.36
315	Soil Analysis	1	264.85623	81.81592	1.57
316	Safety Management	4	208.6262	143.25871	1.55
317	Pattern Recognition	7	140.25558	197.32835	3.16
318	Mental Health Assessment	12	431.6294	177.66667	1.71
319	Clinical Medicine (translated)	3	361.98083	140.801	4.33
320	Mutation; DNA Repair	10	331.94888	132.199	2.06
321	Human Evolution	1	272.52396	47.40796	1.42
322	Space Research	11	163.25879	212.07463	2.82
323	Entomology	1	282.7476	53.55224	1.66
324	Epilepsy	8	403.51437	160.46269	2.29
325	Plant Ecology	1	266.77316	62.15423	1.82
326	Computer Aided Molecular Design	5	260.3834	246.48259	1.29
327	Criminology	13	461.66135	146.94527	1.31
328	Forensic Psychiatry	8	436.10223	175.20895	1.22
329	Personality	13	455.91055	175.20895	1.65
330	Test Equipment	7	153.03514	209.61691	1.54
331	Logic	7	128.11502	203.47264	1.32
332	Pulp Paper Science	4	208.6262	210.84576	1.47
333	Textiles	4	208.6262	201.01492	1.43
334	Contemporary Philosophy	9	489.1374	31.432837	1.5
335	Hydrology Soil Contamination	4	224.60063	116.22388	1.26
336	Child Abuse	13	447.60382	164.14925	1.22
337	Mathematics Research	11	138.33865	230.50746	2.01
338	Geology (International)	6	223.54347	47.91023	2.09
339	Environmental Chemistry	5	263.57828	241.56717	1.6
340	Parasitology	1	309.58466	74.44279	1.89
341	Dairy Science	10	298.08307	133.42786	1.61
342	Water Policy	4	227.15656	113.76617	1.43
343	Fish Research	1	257.1885	53.55224	1.55
344	Printing	4	197.1246	192.41293	1.99
345	Genetics	1	281.46964	75.67164	2.05
346	Industrial Chemistry	4	194.5687	188.72636	3.48
347	Obesity	12	362.6198	203.47264	1.6
348	Literary Criticism	9	483.02795	36.435013	1.17
349	Hepatology	3	345.3674	99.0199	2.3
350	Physical Therapy; Brain Injury	8	402.8754	181.35324	1.84
351	Computational Math	11	149.84026	216.99005	1.92
352	World Health Organization	10	325.5591	113.76617	1.47
353	Geophysical Science	11	169.64856	219.44775	1.64
354	Forensic Medicine	12	425.23962	178.89552	1.4
355	Psychiatric Services	12	437.3802	176.4378	1.34
356	Software Design and Development	7	130.03195	175.20895	1.38
357	Wildlife Management	1	270.60703	57.238808	1.38
358	Ocean Coastal Management	4	219.48882	78.12936	1.26
359	Database Design & Management	7	124.28115	180.12437	1.49
360	Financial Accounting	13	494.88818	129.74129	1.31
361	Microbiology Biotechnology	2	290.41534	124.825874	2.41
362	Water Utilities	4	218.21086	130.97015	1.79
363	Sedimentary Geology	6	230.35144	44.95025	1.73
364	Geodesy	6	230.99042	47.40796	1.55
365	Surfactants	5	213.73802	255.08458	3.03
366	Eye	3	347.9233	191.18408	2.26
367	Addictive Behavior	12	429.0735	191.18408	1.4
368	Naval Architecture	4	178.59425	142.02985	1.53
369	Environmental Microbiology	1	252.07668	60.925373	2.16
370	Electronic Imaging	7	137.0607	207.15921	1.87
371	Functional Programing	7	128.11502	176.4378	1.49
372	Applied Genetics	1	289.1374	83.04478	1.61
373	Plant Disease	1	282.7476	78.12936	1.8
374	Water Resource	6	234.1853	89.18906	2.44
375	Developmental Economics	13	98	129.08232	1.38
376	Nuclear Physics	11	179.23323	229.27861	3.3
377	International Economics	13	99.388214	134	1.32
378	Radiology	3	371.5655	127.283585	2.12
379	German Studies	9	486.58148	44.95025	1.45
380	Medieval History	9	482.7476	38.80597	1.46
381	Philosophy of Education	9	490.41534	27.74627	1.55
382	Oceanographic Instrumentation	4	183.0671	149.40298	1.63
383	Foreign Policy	13	488.4984	119.910446	1.35
384	Gut	3	352.57336	80.35819	2.56
385	Microwaves; Radio Frequencies	7	158.78595	229.27861	2.46
386	School Psychology	13	450.15976	164.14925	1.27
387	Vaccines	10	333.22684	134.65672	2.23
388	Environmental Law	13	491.6933	121.139305	1.27
389	Mass Spectrometry	5	282.7476	210.84576	2.19
390	Psychiatric Nursing	12	425.23962	208.38806	1.77
391	Asian Studies	9	484.02557	60.925373	1.09
392	Optimization Theory	11	137.69968	225.59204	1.63
393	Mathematical Science (Russia)	11	137.06654	222.37709	1.77
394	Gene Therapy	10	341.53354	137.11443	2.14
395	Security; Cryptography	7	135.78275	183.81094	1.28
396	Materials Processing	4	189.79416	225.34467	2.5
397	Rural Health Care	12	393.29074	247.71144	2.37
398	Power Systems	7	145.36742	204.70149	1.6
399	Surgical Oncology	3	360.0639	138.34328	2.17
400	Chip Design & Manufacturing	7	144.72844	185.0398	3.03
401	Sociobiology	1	281.46964	64.61194	1.68
402	Molecular Medicine	12	328.754	232.96518	8.17
403	Human Resource Management	13	486.58148	142.02985	4.67
404	Ecological Modeling	1	262.30032	65.8408	5.92
405	Clinical Rehabilitation	3	362.6198	158.00497	11.78
406	Metallurgy	4	189.45686	212.07463	7.72
407	Ethics	9	484.66455	43.721394	1.77
408	Marital & Family Therapy	13	448.88177	162.9204	3.67
409	Aerospace	4	164.53674	188.72636	9.71
410	Critical Studies	9	484.02557	44.95025	2.19
411	Econometrics	13	498.72205	139.57214	4.68
412	Neuroscience Methods	8	415.01596	165.37811	3.77
413	Mineralogy	6	227.15656	58.467663	5.15
414	Trauma	12	384.34506	181.35324	6.52
415	Thermal Analysis	5	261.66135	232.96518	5.48
416	Solar & Wind Power	4	190.09584	202.24377	6.43
417	Ocean Engineering	4	208.6262	126.054726	6.34
418	Educational Psychology	13	463.57828	149.40298	3.12
419	Mycology	1	273.16293	69.52737	3.46
420	Semiotics	9	483.3866	44.95025	1.57
421	Dyes & Pigments	4	220.12779	192.41293	4.47
422	Drug Safety	3	358.14697	185.0398	7.33
423	Molecular Ecology	1	271.88498	57.238808	5.17
424	Cytogenetics & Genome Mapping	10	342.8115	138.34328	5.77
425	Clinical Psychiatry	12	439.29712	172.75125	3.22
426	Paleogeography	6	238.01917	51.09453	2.73
427	Water Waste	4	230.99042	107.62189	3.17
428	Computer Networks	7	135.14377	186.26866	2.84
429	Weed Management	1	254.63258	89.18906	3.86
430	User Interface Design	7	135.78275	178.89552	3.45
431	Public Policy	13	487.22046	121.139305	2.49
432	Liquid Crystals	5	247.60384	232.96518	4.7
433	Control Systems	7	138.11415	197.90596	4.91
434	Environmental Policy	13	489.1374	128.51244	2
435	Topology	11	140.62057	220.5824	3.38
436	Construction	4	200.95847	167.83582	3.77
437	Dams & Tunnels	4	208.6262	139.57214	4.01
438	Regional Studies	13	491.05432	129.74129	2.45
439	Electrochemical Development	4	183.93231	231.40916	5.97
440	Digital Printing	4	201.87378	197.43849	4.82
441	Peptides	10	310.8626	144.48756	5.1
442	Applied Geophysics	4	215.01598	108.850746	4.31
443	Sexually Transmitted Diseases	10	326.83707	137.11443	3.59
444	Engineering Education	13	475.07986	143.25871	3.37
445	NeuroImmunology	8	390.73483	160.46269	4.71
446	Machine Learning	7	121.254166	176.60983	3.1
447	Geriatric Nursing	12	399.04153	242.79602	3.28
448	Sensors & Actuators	4	191.3738	208.38806	4.87
449	Systematics & Evolutionary Microbiology	2	301.27795	108.850746	3.15
450	Medical Image Processing	7	143.45049	210.84576	5.89
451	Medical Education	12	378.59424	230.50746	6.38
452	Magnetic Resonance Imagery	8	378.59424	151.8607	4.52
453	Hospital Management	12	386.90097	260	3.26
454	Insect Physiology	1	292.97125	62.15423	3.75
455	Power Transmission	7	150.47923	205.93034	6.95
456	Food Engineering	2	291.6933	137.11443	3.31
457	Oral Surgery	12	375.39935	203.47264	3.96
458	Computer Systems Theory	7	129.78638	180.665	2.31
459	Combustion	4	194.5687	171.52238	3.04
460	Dermatological Surgery	3	347.9233	183.81094	3.38
461	Wildlife Research	1	271.88498	54.781094	2.3
462	Midwifery	12	409.26517	250.16916	2.74
463	Physics; Current Developments	11	170.92651	240.3383	8.35
464	Pyschiatric & Behavioral Genetics	13	444.40894	160.46269	2.12
465	Fractures & Fatigue	4	188.81789	212.07463	3.37
466	Emergency Medicine	12	384.34506	198.55722	3.86
467	Cross Disciplinary Studies	9	480.4371	39.0809	1.88
468	Archeological Science	6	249.52077	38.80597	2.33
469	Preventive Medicine	12	388.8179	232.96518	3.01
470	Carbon	5	221.40575	223.13432	4.09
471	Gynecology Oncology	3	351.7572	148.17413	3.16
472	Psychosomatic Medicine	13	445.6869	173.9801	2.28
473	Pharmaco Economics	12	373.48242	221.90547	2.34
474	Computer Modeling and Animation	7	132.58786	205.93034	2.17
475	Medical Practice	12	387.53995	252.62686	3.23
476	Cancer Statistics	11	119.808304	192.41293	2.6
477	Consciousness	8	431.6294	164.14925	1.68
478	Otolyngology; Head Neck	12	376.03833	164.14925	3.06
479	Heart Failure; Catheters	3	365.8265	178.67416	3.24
480	Wood Components	4	212.46007	202.24377	1.83
481	Circuits	7	143.61687	199.27823	1.97
482	Friction Lubrication & Wear	4	186.26198	226.82089	2.73
483	Superconductor Science	11	170.28754	225.59204	6.18
484	Antennae; Mobile Radio	7	154.4725	207.12112	2.74
485	Headache	8	390.73483	172.75125	2.41
486	Operations Management	13	499.47687	151.31238	1.84
487	Fish Biology	1	268.6901	49.865673	2.19
488	Social History	9	485.9425	47.40796	2.17
489	Consumer Electronics	7	140.25558	193.64178	2.54
490	Menopause	3	346.64536	185.0398	1.9
491	Chemistry (Russia)	5	253.41975	232.55077	4.61
492	GeoPolitics	13	485.9425	126.054726	1.59
493	Glaciology	6	235.46326	49.865673	1.54
494	Medical Libraries	12	390.73483	256.31345	2.14
495	Opera	9	483.3866	24.059702	1.23
496	Education	13	473.8019	140.801	1.56
497	Acoustics	4	184.98402	185.0398	1.94
498	Pragmatics & Discourse	13	478.27475	74.44279	1.65
499	Reproduction Veterinary	10	319.80832	134.65672	2.82
500	Crystallography	5	246.47443	236.04976	4.42
501	Applied Math	11	149.20128	214.53233	3.18
502	Socio-Cultural Anthropology	9	486.58148	47.40796	1.61
503	Poultry Science	10	301.27795	101.477615	2.31
504	Artificial Organs	12	371.89	175.72485	2.27
505	Physical Therapy; Orthopedic	12	381.15015	186.26866	1.72
506	Pulmonary	3	349.84024	158.00497	1.87
507	Waste Management	4	187.53993	159.23383	2.48
508	Marine Pollution	1	250.79872	60.925373	1.96
509	Toxins	5	296.8051	192.41293	1.73
510	Hearing Research	8	386.262	151.8607	1.25
511	Human Rights	13	485.30353	121.139305	1.43
512	Lung Cancer	3	360.0639	144.48756	1.99
513	Social Economics	13	499.36102	132.199	1.51
514	Carbohydrate Research	5	276.9968	160.46269	2.08
515	Biotechnology Bioengineering	2	302.5559	135.88557	1.79
516	Rural Studies	13	487.85944	114.995026	1.29
517	Electronics	7	160.0639	226.82089	4.48
518	Defects & Diffusion in Materials	4	186.90096	235.42288	1.48
519	Forensic Science	8	410.54312	183.81094	2.07
520	Rangeland Ecology	1	260.3834	64.61194	1.38
521	Welding	4	187.53993	228.04974	1.97
522	Reliability Engineering	13	112.14057	188.72636	1.9
523	Molecular Biology Methods	10	321.08627	123.597015	3.96
524	Mammals	1	273.16293	54.781094	1.47
525	Impotence	3	361.34186	97.791046	1.73
526	Fuzzy Logic	7	135.53897	197.29028	2.73
527	Tourism	13	487.85944	143.25871	1.64
528	Aquatic Disease	1	278.27475	44.95025	1.53
529	Geographic Information Science	6	229.71246	33.89055	1.78
530	Hormone Research	3	348.5623	196.0995	1.76
531	Public Health	12	365.8147	241.56717	1.7
532	Sleep	8	403.51437	161.69154	1.66
